,Location_ID,Parent_ID,Name,Country_ID,Type,Snippet,Snippet_Language,Temp_Avg_Min_Jan,Temp_Avg_Max_Jan,Temp_Avg_Min_Feb,Temp_Avg_Max_Feb,Temp_Avg_Min_Mar,Temp_Avg_Max_Mar,Temp_Avg_Min_Apr,Temp_Avg_Max_Apr,Temp_Avg_Min_May,Temp_Avg_Max_May,Temp_Avg_Min_Jun,Temp_Avg_Max_Jun,Temp_Avg_Min_Jul,Temp_Avg_Max_Jul,Temp_Avg_Min_Aug,Temp_Avg_Max_Aug,Temp_Avg_Min_Sep,Temp_Avg_Max_Sep,Temp_Avg_Min_Oct,Temp_Avg_Max_Oct,Temp_Avg_Min_Nov,Temp_Avg_Max_Nov,Temp_Avg_Min_Dec,Temp_Avg_Max_Dec,Similarity_Score
37,Tbilisi,wv__Kartli,Tbilisi,Georgia_28country29,city,"Known for coffee. Recommended places to visit are Sameba Cathedral, Georgian State Museum of Theatre and Mtatsminda Pantheon.",,-0.8,6.6,0.0,7.7,3.2,12.6,8.4,18.9,12.4,23.1,16.5,28.1,19.8,31.2,19.5,30.9,15.4,26.4,10.4,19.8,4.9,12.8,1.3,8.4,0.1596849
367,Tampa2C_Florida,Florida,Tampa,United_States,city,"Known for places to eat and drink. Recommended places to visit are Busch Gardens Tampa, ZooTampa at Lowry Park and Florida Aquarium.",,10.88888889,21.05555556,12.44444444,22.5,14.55555556,24.61111111,17.22222222,27.22222222,20.94444444,30.66666667,23.77777778,32.0,24.38888889,32.27777778,24.55555556,32.33333333,23.61111111,31.61111111,20.0,29.05555556,15.72222222,25.55555556,12.33333333,22.22222222,0.15921171
405,Virginia,United_States,Virginia,United_States,region,The DC suburbs of Northern Virginia contrast with the firmly Southern character of other parts of the state.,,,,,,,,,,,,,,,,,,,,,,,,,,0.15732206
252,Eastleigh,wv__South_East_England,Eastleigh,United_Kingdom,city,"Known for lunch. Recommended places to visit are Marwell Zoo, Lakeside Country Park and The Point.",,,,,,,,,,,,,,,,,,,,,,,,,,0.15601626
40,Jakarta,wv__Java,Jakarta,Indonesia,city,"Known for shopping. Recommended places to visit are National Museum, Jakarta History Museum and National Monument.",,23.3,28.9,23.3,28.9,23.3,29.4,23.9,30.0,23.9,30.6,23.3,30.0,22.8,30.0,22.8,30.6,22.8,31.1,23.3,31.1,23.3,30.6,23.3,29.4,0.15600955
160,wv__Beijing,China,Beijing,China,city,"Known for natural attractions. Recommended places to visit are Forbidden City, Palace Museum and Summer Palace.",,,,,,,,,,,,,,,,,,,,,,,,,,0.15450953
146,Taguig,wv__Luzon,Taguig,Philippines,city,"Known for dinner. Recommended places to visit are Manila American Cemetery, Libingan ng mga Bayani and Philippine Army Museum.",,,,,,,,,,,,,,,,,,,,,,,,,,0.15447335
315,Newark2C_New_Jersey,New_Jersey,Newark,United_States,city,"Known for dinner. Recommended places to visit are Cathedral Basilica of the Sacred Heart, New Jersey Performing Arts Center and Newark Museum.",,-4.166666667,3.777777778,-2.833333333,5.722222222,0.8888888890000001,10.38888889,6.5,16.66666667,11.83333333,22.27777778,17.38888889,27.5,20.38888889,30.0,19.72222222,28.88888889,15.38888889,24.83333333,8.888888889,18.5,3.888888889,12.55555556,-1.333333333,6.3888888889999995,0.15438612
110,Kampala,wv__Central_Uganda,Kampala,Uganda,city,"Known for coffee. Recommended places to visit are Uganda Museum, Uganda National Mosque and Namirembe Cathedral.",,17.7,28.6,18.0,29.3,18.1,28.7,18.0,27.7,17.9,27.3,17.6,27.1,17.1,26.9,17.1,27.2,17.2,27.9,17.4,27.7,17.5,27.4,17.5,27.9,0.1533751
213,Batumi,wv__Southwestern_Georgia,Batumi,Georgia_28country29,city,"Known for coffee. Recommended places to visit are Gonio Fortress, Batumi Mosque and Batumi Cathedral of the Mother of God.",,4.1,10.3,3.8,11.2,5.5,12.5,9.3,16.2,13.1,20.1,17.3,24.3,19.9,26.2,20.3,26.5,16.9,23.5,13.4,20.3,9.1,15.8,6.4,12.7,0.15337509
372,Tver,wv__Central_Russia,Tver,Russia,city,"Known for places to eat and drink. Recommended places to visit are Botanical Garden of Tver State University, Transfiguration of the Lord Church and Tver River Terminal.",,-10.3,-4.6,-11.3,-4.2,-5.7,2.1,1.0,10.8,6.5,18.0,11.0,21.5,13.2,24.1,11.5,21.5,6.6,15.2,1.9,8.3,-4.0,0.5,-8.6,-3.5,0.15233067
236,City_of_Brussels,wv__Flanders,Brussels,Belgium,city,The bilingual capital region of the country and headquarters of the European Union.,,,,,,,,,,,,,,,,,,,,,,,,,,0.15100367
323,Osh,wv__Ferghana_Valley_28Kyrgyzstan29,Osh,Kyrgyzstan,city,"Known for natural attractions. Recommended places to visit are Sulayman Mountain, Osh State Academic Uzbek Music and Drama Theater named after Babur and National Historical and Archaeological Museum Complex Sulayman.",,-8.3,0.8,-5.8,3.8,1.1,11.7,7.9,20.3,12.3,25.6,15.6,30.5,17.4,32.4,15.5,30.8,10.5,26.5,4.9,19.1,-0.8,10.5,-5.1,3.2,0.15093552
260,Ferno,wv__Lombardy,Ferno,Italy,city,"Ferno is a comune (municipality) in the Province of Varese in the Italian region Lombardy, located about 40 km northwest of Milan and about 35 km south of Varese.",,,,,,,,,,,,,,,,,,,,,,,,,,0.15091169
282,Irving2C_Texas,Texas,Irving,United_States,city,"Known for dinner. Recommended places to visit are Irving Arts Center, Boy Scouts of America National Headquarters and Toyota Music Factory.",,,,,,,,,,,,,,,,,,,,,,,,,,0.14746259
135,Petaling_Jaya,wv__West_Coast_28Malaysia29,Petaling Jaya,Malaysia,city,"Known for dinner. Recommended places to visit are Wat Chetawan, MBPJ Tower and Tun Abdul Aziz Mosque.",,23.1,32.5,23.5,33.3,23.8,33.5,24.2,33.5,24.4,33.4,24.2,33.1,23.7,32.6,23.7,32.7,23.7,32.5,23.7,32.5,23.6,32.1,23.4,31.9,0.14664471
103,Hiroshima,wv__Chugoku,Hiroshima,Japan,city,"Known for places to eat and drink. Recommended places to visit are Atomic Bomb Dome, Hiroshima Castle and Hiroshima Peace Memorial Park.",,1.7,9.7,2.1,10.6,4.8,14.0,9.9,19.7,14.7,24.1,19.4,27.2,23.8,30.8,24.8,32.5,20.8,29.0,14.2,23.4,8.5,17.4,3.7,12.3,0.14544405
398,Berkeley2C_California,California,Berkeley,United_States,city,"Known for places to eat and drink. Recommended places to visit are Lawrence Hall of Science, Sather Tower and Berkeley Art Museum and Pacific Film Archive.",,5.555555556,14.66666667,6.777777778,16.44444444,7.6111111110000005,17.88888889,8.055555556,19.33333333,9.666666667000001,20.94444444,10.94444444,22.88888889,11.66666667,23.27777778,12.16666667,23.5,11.88888889,23.77777778,10.83333333,22.5,8.111111111,18.22222222,5.8888888889999995,14.77777778,0.14529411
319,Nuneaton,wv__West_Midlands_28region29,Nuneaton,United_Kingdom,city,"Known for natural attractions. Recommended places to visit are Nuneaton Museum & Art Gallery, Astley Castle and St Nicolas Church.",,,,,,,,,,,,,,,,,,,,,,,,,,0.14489381
11,Bangkok,wv__Central_Thailand,Bangkok,Thailand,city,"Known for shopping. Recommended places to visit are Grand Palace, Wat Phra Kaew and Wat Pho.",,22.6,32.5,24.4,33.3,25.9,34.3,26.9,35.4,26.3,34.4,26.1,33.6,25.7,33.2,25.5,32.9,25.0,32.8,24.8,32.6,23.9,32.4,22.0,31.7,0.14393032
247,Dhaka,wv__Dhaka_Division,Dhaka,Bangladesh,city,"Known for shopping. Recommended places to visit are Lalbagh Fort, Bangladesh National Museum and Dhaka Zoo.",,13.1,25.1,16.2,28.3,20.8,32.5,23.8,33.8,24.8,33.4,26.2,32.5,26.3,31.8,26.4,32.1,25.9,32.0,23.9,31.8,19.4,29.7,14.8,26.5,0.14169818
16,Atlanta,Georgia_28U2eS2e_state29,Atlanta,United_States,city,"Known for places to eat and drink. Recommended places to visit are Georgia Aquarium, College Football Hall of Fame and World of Coca-Cola.",,1.28,11.28,3.17,13.67,6.72,18.11,10.83,22.5,15.72,26.61,20.11,30.22,21.83,31.72,21.5,31.17,18.22,27.89,12.22,22.61,6.94,17.56,2.5,12.22,0.14160526
15,Doha,Qatar,Doha,Qatar,city,"Known for shopping. Recommended places to visit are Museum of Islamic Art, Souq Waqif and National Museum of Qatar.",,13.5,22.0,14.4,23.4,17.3,27.3,21.4,32.5,26.1,38.8,28.5,41.6,30.2,41.9,30.0,40.9,27.7,38.9,24.6,35.4,20.4,29.6,15.6,24.4,0.14144726
29,Manchester,wv__North_West_England,Manchester,United_Kingdom,city,"Known for shopping. Recommended places to visit are Museum of Science and Industry, Manchester Art Gallery and National Football Museum.",,1.7,7.3,1.6,7.6,3.3,10.0,4.9,12.6,7.7,16.1,10.5,18.6,12.6,20.6,12.4,20.3,10.3,17.6,7.4,13.9,4.2,10.0,1.8,7.4,0.14144726
97,Gothenburg,wv__GC3B6taland,Gothenburg,Sweden,city,"Known for shopping. Recommended places to visit are Museum of Gothenburg, Volvo Museum and Botaniska Trädgården.",,-3.0,2.0,-3.2,2.2,-1.4,5.2,2.0,10.6,6.4,16.0,10.1,18.6,12.6,21.1,12.3,20.4,8.8,16.4,5.1,11.5,1.2,6.4,-2.0,3.2,0.14144726
297,Ludwigsburg,wv__Baden-WC3BCrttemberg,Ludwigsburg,Germany,city,"Known for shopping. Recommended places to visit are Schloss Ludwigsburg, Schloss Favorite and Seeschloss Monrepos.",,,,,,,,,,,,,,,,,,,,,,,,,,0.14144726
304,Metzingen,wv__Baden-WC3BCrttemberg,Metzingen,Germany,city,"Known for shopping. Recommended places to visit are Weinbaumuseum, Altes Rathaus and Neues Rathaus.",,,,,,,,,,,,,,,,,,,,,,,,,,0.14144726
244,DC3BCsseldorf,wv__North_Rhine-Westphalia,Düsseldorf,Germany,city,"Known for shopping. Recommended places to visit are Rheinturm, Neanderthal Museum and Schloss Benrath.",,1.1,5.75,1.15,6.95,3.15,10.95,5.25,15.1,9.15,19.2,11.5,22.05,14.2,24.15,14.05,24.0,10.6,19.9,8.05,15.0,4.3,9.75,1.85,5.85,0.14144726
178,Croydon,wv__South_East_England,Croydon,United_Kingdom,city,"Known for shopping. Recommended places to visit are Queen's Gardens, Croydon Clocktower and Croydon Minster.",,,,,,,,,,,,,,,,,,,,,,,,,,0.14144726
33,Glasgow,wv__Central_Belt,Glasgow,United_Kingdom,city,"Known for shopping. Recommended places to visit are Kelvingrove Art Gallery and Museum, Riverside Museum and Gallery of Modern Art.",,1.5,6.65,1.55,7.15,2.75,9.3,4.35,12.15,6.75,15.45,9.55,17.75,11.55,19.45,11.25,19.05,9.4,16.3,6.45,12.55,3.8,9.25,1.4,6.65,0.14144725
38,Hamburg,wv__Schleswig-Holstein,Hamburg,Germany,city,"Known for shopping. Recommended places to visit are Speicherstadt, Miniatur Wunderland and Hamburger Kunsthalle.",,-1.8,3.1,-1.5,4.1,0.75,7.6,3.15,12.1,7.3,17.25,10.45,20.05,12.45,21.75,12.2,21.9,9.5,17.95,6.15,13.15,2.45,7.55,-0.35,4.3,0.14144725
90,Copenhagen,wv__Zealand,Copenhagen,Denmark,city,The densely populated capital region.,,-0.7,3.4,-0.8,3.6,0.7,6.5,4.2,11.8,8.6,16.7,11.9,19.6,14.3,22.2,14.1,21.8,10.8,17.5,7.1,12.6,3.3,7.6,0.5,4.4,0.14082277
18,Luxembourg,,Luxembourg,Luxembourg,country,This small duchy once laid claims upon the entire Benelux region around 600 years ago.,,,,,,,,,,,,,,,,,,,,,,,,,,0.14082277
46,Nairobi,wv__Southern_Rift_Valley,Nairobi,Kenya,city,"Known for natural attractions. Recommended places to visit are Karen Blixen Museum, Giraffe Centre and Cathedral Basilica of the Holy Family.",,11.7,26.1,12.0,27.3,13.1,27.15,14.15,25.5,13.2,24.0,11.15,23.1,10.3,22.3,10.3,22.85,10.85,25.3,12.3,26.15,13.35,24.45,12.6,24.9,0.14046441
70,Los_Angeles,California,Los Angeles,United_States,city,"Southern portion of the Valley, including major population centers of Lancaster, Palmdale and Quartz Hill.",,7.43,19.39,8.19,19.78,9.07,20.48,10.39,22.37,12.5,23.69,14.44,26.2,16.33,28.87,16.67,29.5,15.83,28.41,13.19,25.81,9.43,22.3,7.13,19.46,0.13990083
138,Queenstown2C_New_Zealand,wv__South_Island,Queenstown,New_Zealand,city,"Known for dinner. Recommended places to visit are Queenstown Gardens, Kawarau Bridge Bungy and Glacier Southern Lakes Helicopters.",,9.8,21.8,9.4,21.8,7.2,18.8,4.3,15.0,2.3,11.7,-0.3,8.4,-1.7,7.8,0.2,9.8,2.5,12.9,4.3,15.3,6.0,17.1,8.3,19.7,0.13902575
191,Luton,wv__East_of_England,Luton,United_Kingdom,city,"Known for lunch. Recommended places to visit are Wardown Park, Luton Town Hall and St Mary's Church.",,1.2,6.7,1.0,7.0,2.7,9.9,4.0,12.7,6.9,16.1,9.8,19.2,11.9,21.8,11.8,21.6,9.9,18.3,7.1,14.1,3.8,9.7,1.6,6.9,0.13861187
208,Austin2C_Texas,Texas,Austin,United_States,city,"Known for places to eat and drink. Recommended places to visit are Blanton Museum of Art, Texas State Capitol and Lady Bird Johnson Wildflower Center.",,5.277777778,16.38888889,7.1111111110000005,18.44444444,10.72222222,22.33333333,14.77777778,26.55555556,19.27777778,30.27777778,22.38888889,33.38888889,23.55555556,35.33333333,23.66666667,36.11111111,20.77777778,32.5,15.88888889,27.66666667,10.33333333,21.88888889,5.722222222,17.05555556,0.13814619
257,Espoo,wv__Southern_Finland,Espoo,Finland,city,A big city west of Helsinki consists of many smaller centers that interweave.,,,,,,,,,,,,,,,,,,,,,,,,,,0.13759032
54,Salzburg,wv__Salzburg_28state29,Salzburg,Austria,city,"Known for dinner. Recommended places to visit are Hohensalzburg Fortress, Mirabell Palace and Mozart's birthplace.",,-4.0,3.2,-2.95,5.5,0.7,10.3,4.05,14.75,8.65,20.1,11.8,22.45,13.75,24.75,13.65,24.3,10.2,20.05,5.75,15.0,0.75,8.0,-2.5,3.9,0.13753133
373,Uppsala,wv__Svealand,Uppsala,Sweden,city,"Known for relax in a park. Recommended places to visit are Uppsala Castle, Uppsala Cathedral and Gamla Uppsala.",,-5.2,-0.066666667,-5.466666667,0.46666666700000003,-2.933333333,4.466666667,0.966666667,10.96666667,5.6333333329999995,16.83333333,9.8,20.43333333,13.03333333,23.43333333,12.0,21.8,8.0,16.6,3.4,9.833333332999999,-0.133333333,4.466666667,-3.6,1.3,0.13704467
237,Cleveland,Ohio,Cleveland,United_States,city,"Traditionally one of the more liberal US cities, regional hub of 3 million residents, the ""Rock and Roll Capital of the World"" and home to one of the five richest collections of arts and culture institutions in the US.",,-5.722222222,1.333333333,-4.666666667,3.0555555560000003,-1.0,8.111111111,4.666666667,15.05555556,10.05555556,20.83333333,15.44444444,25.88888889,17.94444444,28.11111111,17.27777778,27.11111111,13.33333333,23.27777778,7.444444444,16.83333333,2.722222222,10.44444444,-3.111111111,3.5,0.1364524
337,Raleigh2C_North_Carolina,North_Carolina,Raleigh,United_States,city,"Known for dinner. Recommended places to visit are North Carolina Museum of History, North Carolina Museum of Natural Sciences and North Carolina State Capitol.",,-0.5555555560000001,10.5,1.0,12.88888889,4.3888888889999995,17.44444444,8.888888889,22.44444444,13.61111111,26.44444444,18.77777778,30.61111111,21.05555556,32.33333333,20.33333333,31.33333333,16.5,27.83333333,9.888888889,22.55555556,4.8888888889999995,17.55555556,0.7222222220000001,12.0,0.13304064
326,Perth,wv__Western_Australia,Perth,Australia,city,"The state capital on the Swan River sandy coastal plain, the beaches to the west, the hills to the east.",,18.1,31.2,18.3,31.6,16.7,29.6,13.8,25.9,10.5,22.3,8.5,19.4,7.8,18.4,8.3,19.0,9.5,20.3,11.6,23.4,14.3,26.7,16.3,29.1,0.13304064
343,Richmond2C_Virginia,Virginia,Richmond,United_States,city,"Known for lunch. Recommended places to visit are Virginia Museum of Fine Arts, Virginia State Capitol and American Civil War Museum.",,-2.055555556,8.555555556,-0.833333333,10.72222222,2.833333333,15.55555556,7.833333333,21.27777778,12.77777778,25.5,18.05555556,30.05555556,20.5,32.05555556,19.66666667,30.88888889,15.61111111,27.33333333,9.055555556,21.66666667,4.1111111110000005,16.33333333,-0.333333333,10.38888889,0.13304064
148,Tampere,wv__Finnish_Lakeland,Tampere,Finland,city,"Known for relax in a park. Recommended places to visit are Tampere Cathedral, Näsinneula and Spy Museum.",,-9.7,-3.4,-10.6,-3.5,-6.6,1.2,-1.3,8.2,3.8,15.4,8.6,19.5,11.7,22.2,10.4,19.9,5.9,14.0,1.9,7.5,-3.0,1.5,-7.6,-1.9,0.13303794
202,Aberdeen,wv__North_East_Scotland,Aberdeen,United_Kingdom,city,"Known for lunch. Recommended places to visit are St Machar's Cathedral, Duthie Park and Girdle Ness Lighthouse.",,0.6,6.3,0.7,6.6,1.75,8.6,3.2,10.7,5.45,13.4,8.35,15.85,10.55,18.25,10.3,18.05,8.5,15.6,5.8,12.2,2.9,8.75,0.75,6.4,0.13303794
298,Lund,wv__GC3B6taland,Lund,Sweden,city,"Known for relax in a park. Recommended places to visit are Lund Cathedral, Kulturen and Lundagård.",,0.1,3.65,0.45,4.05,1.75,7.25,4.65,13.45,8.25,17.8,11.35,20.6,13.95,23.6,13.85,22.75,10.65,18.55,6.35,13.0,3.15,7.85,1.0,5.3,0.13303792
359,St_Albans,wv__East_of_England,St Albans,United_Kingdom,city,"Known for places to eat and drink. Recommended places to visit are St Albans Cathedral, Roman Theatre of Verulamium and Verulamium Park.",,1.2,6.7,1.0,7.0,2.7,9.9,4.0,12.7,6.9,16.1,9.8,19.2,11.9,21.8,11.8,21.6,9.9,18.3,7.1,14.1,3.8,9.7,1.6,6.9,0.13303792
174,Burnaby,wv__British_Columbia,Burnaby,Canada,city,"Known for natural attractions. Recommended places to visit are Burnaby Village Museum, Burnaby Lake Regional Park and Burnaby Art Gallery.",,1.4,5.8,1.7,6.8,3.1,9.3,4.9,12.4,7.9,15.6,10.5,18.2,12.7,21.2,13.2,21.2,11.1,18.0,7.0,12.0,3.0,7.5,0.8,5.1,0.13291067
239,Columbus2C_Ohio,Ohio,Columbus,United_States,city,The state capital and regional hub of 2 million residents.,,-5.222222222,2.5,-3.888888889,4.777777778,0.38888888899999996,10.61111111,5.8888888889999995,17.5,11.22222222,22.72222222,16.38888889,27.55555556,18.61111111,29.38888889,17.83333333,28.72222222,13.61111111,25.0,7.222222222,18.38888889,2.277777778,11.44444444,-2.888888889,4.5,0.13281067
327,Peterborough,wv__East_of_England,Peterborough,United_Kingdom,city,"Known for lunch. Recommended places to visit are Peterborough Cathedral, Elton Hall and St John the Baptist Church.",,1.2,6.8,0.9,7.2,2.6,10.1,4.2,12.6,7.1,16.0,10.0,19.0,12.1,21.7,12.1,21.5,10.1,18.4,7.1,14.1,3.8,9.7,1.6,6.9,0.13263333
358,Southport,wv__North_West_England,Southport,United_Kingdom,city,"Known for lunch. Recommended places to visit are Botanic Gardens, St Cuthbert's Church and Hesketh Park.",,,,,,,,,,,,,,,,,,,,,,,,,,0.13262087
205,Alpharetta2C_Georgia,Georgia_28U2eS2e_state29,Alpharetta,United_States,city,"Known for lunch. Recommended places to visit are Ameris Bank Amphitheatre, North Point Community Church and Wills Park.",,-1.333333333,10.22222222,0.055555556,12.61111111,3.666666667,17.44444444,7.5,21.94444444,12.55555556,25.5,17.55555556,29.44444444,19.44444444,30.61111111,19.33333333,30.33333333,15.27777778,27.16666667,8.944444444,22.0,3.388888889,16.66666667,0.0,11.61111111,0.13262086
280,Ipswich,wv__East_of_England,Ipswich,United_Kingdom,city,"Known for lunch. Recommended places to visit are Christchurch Mansion, Christchurch Park and St Pancras Church.",,1.5,7.25,1.3,7.4,2.8,10.25,4.05,13.25,6.95,16.95,10.25,20.35,12.65,22.75,12.55,22.7,10.45,19.6,7.45,14.9,3.95,10.4,2.05,7.75,0.13262086
386,Watford,wv__East_of_England,Watford,United_Kingdom,city,"Known for lunch. Recommended places to visit are Warner Bros. Studio Tour London – The Making of Harry Potter, Cassiobury Park and Holy Rood Church.",,,,,,,,,,,,,,,,,,,,,,,,,,0.13248254
192,Ilford,wv__East_of_England,Ilford,United_Kingdom,city,"Recommended places to visit are Barking Park, Ilford Hospital Chapel and Valentines Mansion.",,3.1,8.1,2.7,8.6,4.6,11.6,5.9,14.6,8.9,18.1,11.8,21.0,13.7,23.4,13.8,23.1,11.4,20.0,8.8,15.5,5.8,11.3,3.4,8.4,0.13206735
242,Darmstadt,wv__Hesse,Darmstadt,Germany,city,"Known for relax in a park. Recommended places to visit are Burg Frankenstein, Russian Chapel in Darmstadt and Darmstadt Artists' Colony.",,-1.0,5.0,1.0,7.0,3.0,11.0,6.0,15.0,11.0,20.0,13.0,23.0,15.0,25.0,15.0,25.0,11.0,20.0,7.0,14.0,4.0,8.0,1.0,5.0,0.13206735
122,Mecca,wv__Hejaz,Mecca,Saudi_Arabia,city,"Known for natural attractions. Recommended places to visit are Kaaba, Masjid al-Haram and Black Stone.",,18.8,30.5,19.1,31.7,21.1,34.9,24.5,38.7,27.6,42.0,28.6,43.8,29.1,43.0,29.5,42.8,28.9,42.8,25.9,40.1,23.0,35.2,20.3,32.0,0.13187486
253,Edison2C_New_Jersey,New_Jersey,Edison,United_States,city,"Known for dinner. Recommended places to visit are Thomas Alva Edison Memorial Tower and Museum, Roosevelt Park and St. Francis of Assisi Cathedral.",,-6.1111111110000005,3.333333333,-5.0,6.1111111110000005,-0.5555555560000001,11.11111111,3.888888889,17.22222222,9.444444444,23.33333333,14.44444444,27.77777778,17.22222222,30.55555556,16.66666667,29.44444444,12.22222222,25.0,5.555555556,18.88888889,1.111111111,12.22222222,-3.333333333,6.1111111110000005,0.1316023
30,Miami,Florida,Miami,United_States,city,"Known for coffee. Recommended places to visit are Pérez Art Museum Miami, Vizcaya Museum and Gardens and Freedom Tower.",,15.5,24.67,16.83,25.61,18.28,26.83,20.17,28.44,22.72,30.56,24.44,31.94,25.17,32.72,25.22,32.78,24.72,31.83,23.06,30.11,20.06,27.61,17.22,25.5,0.13150732
141,Samut_Prakan_Province,wv__Central_Thailand,Samut Prakan,Thailand,city,"Recommended places to visit are Ancient Siam, Samutprakarn Crocodile Farm & Zoo and Erawan Museum.",,,,,,,,,,,,,,,,,,,,,,,,,,0.13096918
52,Muscat,wv__Northern_Oman,Muscat,Oman,city,"Known for dinner. Recommended places to visit are Al Alam Palace, Sultan Qaboos Grand Mosque and National Museum.",,17.3,25.5,17.6,26.1,20.7,29.8,24.7,34.7,29.1,39.5,30.6,40.4,30.4,38.6,28.4,36.2,27.5,36.3,24.9,35.0,20.9,30.5,18.9,27.1,0.13092001
325,Pasay,wv__Luzon,Pasay,Philippines,city,"Known for dinner. Recommended places to visit are Philippine Air Force Aerospace Museum, Aliw Theater and Manila Film Center.",,22.0,30.2,22.5,31.0,23.6,32.5,25.0,34.1,25.5,33.8,25.1,32.5,24.6,31.3,24.6,30.8,24.6,31.0,24.3,31.1,23.7,31.1,22.7,30.2,0.13037205
49,Kuwait,,Kuwait,Kuwait,country,"Probably best known internationally for its brief occupation by Iraq and role in the 1990-1991 Gulf War, Kuwait is an oil-rich emirate that is a destination for laborers and businessmen, generally not for tourists.",,9.0,21.0,12.0,23.0,16.0,27.0,21.0,33.0,27.0,40.0,30.0,45.0,32.0,47.0,30.0,46.0,27.0,44.0,23.0,39.0,17.0,28.0,12.0,24.0,0.13001971
5,Berlin,wv__Brandenburg,Berlin,Germany,city,"Scarred by four decades of division but experiencing an almost unprecedented boom, the capital of reunited Germany is one of Europe's most creative and innovative cities and still surprisingly affordable.",,-2.53,2.63,-2.03,4.27,0.73,8.53,3.87,14.13,8.47,19.2,11.63,22.03,13.57,24.23,13.17,23.83,9.87,19.1,5.9,13.67,1.9,7.33,-1.03,3.4,0.12972952
200,United_Kingdom,,United Kingdom,United_Kingdom,country,"From the rolling hills of England, to the deep valleys of Wales, the beautiful glens of Scotland to the wild coastline of Northern Ireland, the former heart of the world's largest empire remains just as magnificent as it was when it ruled the waves, with unmatched history dating to before the Roman conquest and diverse cities offering a seemingly limitless amount of opportunity.",,,,,,,,,,,,,,,,,,,,,,,,,,0.12972952
128,Nagoya,wv__Chubu,Nagoya,Japan,city,"Known for relax in a park. Recommended places to visit are Nagoya Castle, Port of Nagoya Public Aquarium and Toyota Automobile Museum.",,0.8,9.0,1.1,10.1,4.2,13.9,9.6,19.9,14.5,24.1,19.0,27.2,23.0,30.8,24.3,32.8,20.7,28.6,14.1,22.8,8.1,17.0,3.1,11.6,0.12892154
300,MalmC3B6,wv__GC3B6taland,Malmö,Sweden,city,"Known for relax in a park. Recommended places to visit are Turning Torso, S:t Petri kyrka and Malmö Castle.",,-1.4,2.8,-1.3,2.9,0.3,5.9,3.4,11.4,7.8,16.6,11.3,19.5,13.8,22.3,13.8,21.7,10.5,17.3,6.8,12.3,3.1,7.2,-0.1,3.9,0.12892154
336,Prague,wv__Central_Bohemia,Prague,Czech_Republic,city,"Home to Kafka and medieval emperors, this city has tons of well-preserved history as well as a vibrant nightlife to keep you fascinated.",,-2.4,2.6,-1.8,4.4,1.5,9.1,5.1,15.1,9.7,20.3,12.7,22.8,14.5,25.3,14.2,25.1,10.5,19.9,6.4,14.2,2.1,7.2,-1.1,3.4,0.12873328
139,Roissy-en-France,wv__C38Ele-de-France,Roissy,France,city,"Recommended places to visit are St. Eloi Church, Orangary Cultural Center and Roissy Town Hall.",,1.8,6.6,1.7,7.7,4.2,11.6,6.1,14.9,9.8,18.9,12.6,22.0,14.6,24.7,14.5,24.6,11.8,20.7,8.9,16.0,4.9,10.3,2.4,7.0,0.1285265
272,Haymarket2C_Virginia,Virginia,Haymarket,United_States,city,"Known for wellness. Recommended places to visit are Old Town Hall and School, Haymarket Museum and St. Paul's Episcopal Church.",,,,,,,,,,,,,,,,,,,,,,,,,,0.1285265
285,Karlsruhe,wv__Baden-WC3BCrttemberg,Karlsruhe,Germany,city,"Known for relax in a park. Recommended places to visit are Karlsruhe Zoo, Karlsruhe Palace and Botanischer Garten Karlsruhe.",,-0.7,4.7,-0.3,6.8,2.7,11.7,5.3,16.4,9.6,20.9,12.8,24.0,14.9,26.6,14.6,26.5,10.9,21.6,7.2,15.8,2.9,9.1,0.4,5.5,0.1282745
108,Ithaca,wv__Greek_Islands,Ithaca,Greece,island,"Known for natural attractions. Recommended places to visit are Archaeological Museum, School of Homer and Riezes Cave.",,,,,,,,,,,,,,,,,,,,,,,,,,0.12767532
382,Warsaw,wv__Mazowieckie,Warsaw,Poland,city,"Known for museums. Recommended places to visit are Copernicus Science Centre, ?azienki Park and Palace on the Water.",,-4.2,0.6,-3.6,1.9,-0.6,6.6,3.9,13.6,8.9,19.5,11.8,21.9,13.9,24.4,13.1,23.9,9.1,18.4,4.8,12.7,0.6,5.9,-3.0,1.6,0.12756881
95,France,,France,France,country,"France receives more tourists than any other country in the world, and is the largest European Union country by land area.",,,,,,,,,,,,,,,,,,,,,,,,,,0.12750435
81,Australia,,Australia,Australia,country,"The largest and most populous country in Oceania, often considered a continent by itself.",,,,,,,,,,,,,,,,,,,,,,,,,,0.12750435
45,China,,China,China,country,"The world's most populous country and one of the oldest civilizations, with a vast array of cultural and natural treasures among the frenzied development.",,,,,,,,,,,,,,,,,,,,,,,,,,0.12750435
92,Derby,wv__East_Midlands,Derby,United_Kingdom,city,"Known for drinks. Recommended places to visit are Derby Museum and Art Gallery, Derby Cathedral and Kedleston Hall.",,0.5,6.0,0.9,6.7,2.6,9.7,4.6,12.6,7.6,16.4,10.6,19.7,12.4,21.3,11.8,20.7,9.7,18.0,6.8,14.0,3.4,9.3,1.6,7.1,0.12599033
